lambda,annual_expected_return,annual_variance,annual_volatility,sharpe_ratio,max_single_weight,max_pair_weight_sum,weight_000333,weight_601318,weight_000895,weight_601398
0.0568,0.201187116089435,0.0200425212703167,0.141571611809418,1.42109787066824,0.399999997163829,0.649999997614555,0.249995401130372,0.100004601255073,0.250000000450726,0.399999997163829
0.0569,0.201187116163802,0.0200425212653868,0.141571611792007,1.42109787136831,0.399999997181253,0.649999997609955,0.249995406534901,0.100004595855143,0.250000000428703,0.399999997181253
0.057,0.201187116239249,0.0200425212603741,0.141571611774304,1.42109787207894,0.399999997198378,0.649999997605309,0.249995412026956,0.100004590367735,0.25000000040693,0.399999997198378
0.0571,0.201187116315749,0.0200425212552809,0.141571611756315,1.42109787279987,0.399999997215219,0.649999997600615,0.249995417604268,0.100004584795118,0.250000000385395,0.399999997215219
0.0572,0.201187116393278,0.0200425212501093,0.14157161173805,1.42109787353085,0.39999999723179,0.649999997595873,0.24999542326463,0.100004579139497,0.250000000364083,0.39999999723179
0.0573,0.201187116471809,0.0200425212448612,0.141571611719515,1.42109787427161,0.399999997248104,0.649999997591084,0.2499954290059,0.100004573403016,0.25000000034298,0.399999997248104
0.0574,0.201187116551318,0.0200425212395389,0.141571611700718,1.42109787502191,0.399999997264173,0.649999997586247,0.249995434825997,0.100004567587757,0.250000000322074,0.399999997264173
0.0575,0.201187116631782,0.0200425212341441,0.141571611681665,1.42109787578153,0.399999997280011,0.649999997581361,0.2499954407229,0.100004561695739,0.250000000301351,0.399999997280011
0.0576,0.201187116713178,0.0200425212286789,0.141571611662363,1.42109787655023,0.399999997295628,0.649999997576428,0.249995446694649,0.100004555728923,0.2500000002808,0.399999997295628
0.0577,0.201187116795483,0.020042521223145,0.141571611642818,1.42109787732779,0.399999997311038,0.649999997571447,0.249995452739341,0.100004549689212,0.250000000260408,0.399999997311038
0.0578,0.201187116878676,0.0200425212175442,0.141571611623038,1.42109787811399,0.399999997326252,0.649999997566417,0.249995458855132,0.10000454357845,0.250000000240165,0.399999997326252
0.0579,0.201187116962737,0.0200425212118783,0.141571611603027,1.42109787890862,0.399999997341279,0.649999997561339,0.249995465040235,0.100004537398426,0.25000000022006,0.399999997341279
0.058,0.201187117047644,0.0200425212061489,0.141571611582792,1.42109787971149,0.399999997356131,0.649999997556213,0.249995471292915,0.100004531150872,0.250000000200083,0.399999997356131
0.0581,0.20118711713022,0.0200425212005801,0.141571611563124,1.4210978804922,0.399999997370512,0.64999999755104,0.24999547737335,0.100004525075609,0.250000000180528,0.399999997370512
0.0582,0.201187117213161,0.0200425211949822,0.141571611543354,1.42109788127651,0.399999997384698,0.649999997545825,0.249995483484604,0.100004518969571,0.250000000161127,0.399999997384698
0.0583,0.201187117296844,0.0200425211893287,0.141571611523387,1.42109788206804,0.399999997398736,0.649999997540569,0.249995489655016,0.100004512804415,0.250000000141833,0.399999997398736
0.0584,0.201187117381251,0.0200425211836212,0.141571611503229,1.42109788286659,0.399999997412634,0.649999997535271,0.249995495883023,0.100004506581706,0.250000000122637,0.399999997412634
0.0585,0.201187176151731,0.0200425169238561,0.141571596458669,1.42109844901316,0.399999999999986,0.649999999999987,0.249999999972227,0.100000000027785,0.250000000000001,0.399999999999986
0.0586,0.201187176151734,0.0200425169238559,0.141571596458668,1.42109844901319,0.399999999999987,0.649999999999987,0.249999999972438,0.100000000027575,0.25,0.399999999999987
0.0587,0.201187176151737,0.0200425169238557,0.141571596458667,1.42109844901321,0.399999999999987,0.649999999999987,0.24999999997265,0.100000000027362,0.25,0.399999999999987
0.0588,0.201187176151739,0.0200425169238555,0.141571596458667,1.42109844901324,0.399999999999987,0.649999999999987,0.249999999972865,0.100000000027148,0.25,0.399999999999987
0.0589,0.201187176151742,0.0200425169238553,0.141571596458666,1.42109844901327,0.399999999999987,0.649999999999987,0.249999999973081,0.100000000026931,0.25,0.399999999999987
0.059,0.201187176151745,0.0200425169238551,0.141571596458665,1.4210984490133,0.399999999999987,0.649999999999987,0.2499999999733,0.100000000026713,0.25,0.399999999999987
0.0591,0.201187176151748,0.0200425169238549,0.141571596458664,1.42109844901332,0.399999999999987,0.649999999999987,0.24999999997352,0.100000000026493,0.25,0.399999999999987
0.0592,0.201187176151751,0.0200425169238547,0.141571596458664,1.42109844901335,0.399999999999988,0.649999999999987,0.249999999973741,0.100000000026272,0.25,0.399999999999988
0.0593,0.201187176151754,0.0200425169238545,0.141571596458663,1.42109844901338,0.399999999999988,0.649999999999988,0.249999999973963,0.100000000026049,0.25,0.399999999999988
0.0594,0.201187176151757,0.0200425169238543,0.141571596458662,1.42109844901341,0.399999999999988,0.649999999999988,0.249999999974187,0.100000000025826,0.25,0.399999999999988
0.0595,0.20118717615176,0.0200425169238541,0.141571596458661,1.42109844901343,0.399999999999988,0.649999999999988,0.249999999974411,0.100000000025601,0.25,0.399999999999988
0.0596,0.201187176151763,0.0200425169238539,0.141571596458661,1.42109844901346,0.399999999999988,0.649999999999988,0.249999999974636,0.100000000025376,0.25,0.399999999999988
0.0597,0.201187176151766,0.0200425169238537,0.14157159645866,1.42109844901349,0.399999999999988,0.649999999999988,0.249999999974861,0.100000000025151,0.249999999999999,0.399999999999988
0.0598,0.201187176151769,0.0200425169238535,0.141571596458659,1.42109844901352,0.399999999999988,0.649999999999988,0.249999999975087,0.100000000024925,0.249999999999999,0.399999999999988
0.0599,0.201187176151772,0.0200425169238532,0.141571596458658,1.42109844901355,0.399999999999989,0.649999999999988,0.249999999975313,0.100000000024699,0.249999999999999,0.399999999999989
0.06,0.201187176151774,0.020042516923853,0.141571596458658,1.42109844901358,0.399999999999989,0.649999999999988,0.249999999975539,0.100000000024473,0.249999999999999,0.399999999999989
0.0601,0.201187176151777,0.0200425169238528,0.141571596458657,1.42109844901361,0.399999999999989,0.649999999999988,0.249999999975765,0.100000000024247,0.249999999999999,0.399999999999989
0.0602,0.20118717615178,0.0200425169238526,0.141571596458656,1.42109844901363,0.399999999999989,0.649999999999988,0.249999999975991,0.100000000024021,0.249999999999999,0.399999999999989
0.0603,0.201187176151783,0.0200425169238524,0.141571596458655,1.42109844901366,0.399999999999989,0.649999999999988,0.249999999976216,0.100000000023795,0.249999999999999,0.399999999999989
0.0604,0.201187176151786,0.0200425169238522,0.141571596458655,1.42109844901369,0.399999999999989,0.649999999999988,0.249999999976441,0.10000000002357,0.249999999999999,0.399999999999989
0.0605,0.201187176151789,0.020042516923852,0.141571596458654,1.42109844901372,0.399999999999989,0.649999999999988,0.249999999976666,0.100000000023345,0.249999999999999,0.399999999999989
0.0606,0.201187176151792,0.0200425169238517,0.141571596458653,1.42109844901375,0.39999999999999,0.649999999999988,0.24999999997689,0.100000000023121,0.249999999999999,0.39999999999999
0.0607,0.201187176151795,0.0200425169238515,0.141571596458652,1.42109844901378,0.39999999999999,0.649999999999988,0.249999999977113,0.100000000022898,0.249999999999999,0.39999999999999
0.0608,0.201187176151798,0.0200425169238513,0.141571596458652,1.4210984490138,0.39999999999999,0.649999999999989,0.249999999977336,0.100000000022675,0.249999999999999,0.39999999999999
0.0609,0.201187176151801,0.0200425169238511,0.141571596458651,1.42109844901383,0.39999999999999,0.649999999999989,0.249999999977558,0.100000000022454,0.249999999999999,0.39999999999999
0.061,0.201187176151804,0.0200425169238509,0.14157159645865,1.42109844901386,0.39999999999999,0.649999999999989,0.249999999977778,0.100000000022233,0.249999999999999,0.39999999999999
0.0611,0.201187176151807,0.0200425169238507,0.14157159645865,1.42109844901389,0.39999999999999,0.649999999999989,0.249999999977998,0.100000000022013,0.249999999999999,0.39999999999999
0.0612,0.201187176151809,0.0200425169238505,0.141571596458649,1.42109844901391,0.39999999999999,0.649999999999989,0.249999999978217,0.100000000021794,0.249999999999998,0.39999999999999
0.0613,0.201187176151812,0.0200425169238503,0.141571596458648,1.42109844901394,0.399999999999991,0.649999999999989,0.249999999978434,0.100000000021577,0.249999999999998,0.399999999999991
0.0614,0.201187176151815,0.0200425169238501,0.141571596458647,1.42109844901397,0.399999999999991,0.649999999999989,0.24999999997865,0.100000000021361,0.249999999999998,0.399999999999991
